InvoiceID,InvoiceSequenceID,OMONumber,InvoiceBillAmount,InvoicePayAmount,SalesTax,AdminFee,PaymentID,ChargeAmount,Payment Term,InvoiceStatus,InvoiceDate,DateTransferDoF,DaysDel
1,E828179,E828179,70,70,5.86,10.5,818762,86.36,60,NotDispute,4/14/2008,5/20/2008,On-Time
1,E823429,E823429,10.5,10.5,0.88,1.58,818876,12.96,60,NotDispute,2/27/2008,5/20/2008,30DayDel
1,E823447,E823447,26.25,26.25,2.2,3.94,819493,32.39,60,Dispute,2/26/2008,6/20/2008,60DayDel
1,E828247,E828247,800,800,67,120,819828,987,60,NotDispute,4/21/2008,6/20/2008,90PDayDel
1,E830743,E830743,23.8,23.8,1.99,3.57,821258,29.36,60,NotDispute,05-02-2008,6/20/2008,On-Time
1,E825665,E825665,70,70,5.86,10.5,821585,86.36,60,NotDispute,4/24/2008,6/20/2008,On-Time
1,E833135,E833135,29.75,29.75,2.49,4.46,832124,36.7,30,NotDispute,5/29/2008,7/18/2008,30DayDel
1,E833235,E833235,99,99,8.29,14.85,833277,122.14,30,NotDispute,5/30/2008,7/18/2008,30DayDel
2,E834110,E834110,70,70,5.86,10.5,853758,86.36,30,NotDispute,6/30/2008,8/20/2008,30DayDel
1,E834110,E834110,70,0,0,0,,0,30,NotDispute,6/30/2008,,90PDayDel
1,E832732,E832732,70,70,5.86,10.5,854183,86.36,30,NotDispute,6/30/2008,8/20/2008,30DayDel
1,E836263,E836263,20.65,20.65,1.73,3.1,855914,25.48,30,NotDispute,07-11-2008,9/19/2008,60DayDel
1,E834963,E834963,26.25,26.25,2.2,3.94,855990,32.39,30,Dispute,6/17/2008,9/19/2008,90DayDel
1,E901607,E901607,70,70,5.86,10.5,866245,86.36,30,NotDispute,07-12-2008,9/19/2008,60DayDel
1,E907454,E907454,30,30,2.51,4.5,866956,37.01,30,NotDispute,09-03-2008,10/20/2008,30DayDel
1,E900586,E900586,1150,1150,96.31,172.5,867016,1418.81,30,NotDispute,8/31/2008,10/20/2008,30DayDel
1,E907003,E907003,99,99,8.29,14.85,878976,122.14,30,NotDispute,8/28/2008,10/20/2008,30DayDel
1,1634764,E905589,94.39,94.39,3.78,14.16,869038,112.33,30,NotDispute,09-05-2008,10/20/2008,30DayDel
2,1646731,E905589,76.47,76.47,3.06,11.47,880835,91,30,NotDispute,10-06-2008,11/20/2008,30DayDel
3,1668858,E905589,71.48,71.48,2.86,10.72,902458,85.06,30,NotDispute,11-04-2008,12-10-2008,30DayDel
4,1683611,E905589,121.98,49.43,1.98,7.41,917307,58.82,30,NotDispute,12-08-2008,2/17/2009,60DayDel
5,1696954,E905589,126.75,75.49,3.02,11.32,930288,89.83,30,NotDispute,01-08-2009,2/17/2009,30DayDel
6,1713103,E905589,137.51,59.03,2.36,8.85,946165,70.24,30,NotDispute,02-09-2009,4/20/2009,60DayDel
7,1726757,E905589,127.41,64.46,2.58,9.67,959535,76.71,30,NotDispute,03-11-2009,5/20/2009,60DayDel
8,1741095,E905589,61.03,61.03,2.44,9.15,975222,72.62,30,NotDispute,5/13/2009,6/19/2009,30DayDel
1,1634614,E903423,484.47,484.47,19.38,72.67,869112,576.52,30,NotDispute,09-05-2008,10/20/2008,30DayDel
2,1655603,E903423,425.81,425.81,17.03,63.87,889430,506.71,30,NotDispute,10-06-2008,11/20/2008,30DayDel
3,1668801,E903423,1360.04,934.23,37.37,140.13,902414,1111.73,30,NotDispute,11-04-2008,12-10-2008,30DayDel
